ID	Etudes	Derniere_Annee_Etude	Sexe	Annee_Naissance	Taille_en_cm	Pointure	Longueur_cheveux_en_cm	Couleur_yeux	Couleur_cheveux	Longueur_Index	Longueur_Majeur	Longueur_Annulaire	Ecartement_Orbital	Type_Pied	Nb_Heures_JeuxVideos_Mensuelles	Animal_compagnie_prefere	Nb_Animaux_compagnie	Note_Maths_S5	Niveau_Pilosite	Nb_Heures_Sport_Mensuelles	Système_Exploitation_Mobile	Taille_Fratrie	Nb_RepasPizza_Mensuel	Chocolatine_ou_pain_au_chocolat	Lateralisation	Region_CodeINSEE
1	TIS	2016	H	1989	184	44	5	Marron	Chatain	8	9.5	8.50	NA	Egyptien	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	TIS	2016	H	1993	190	46	3.4	Marron	Noir	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3	TIS	2016	H	1990	180	45	3.9	Bleu	Noir	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4	TIS	2016	F	1993	172	39	36	Vert	Blond	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5	TIS	2016	F	1994	168	41	3	Vert	Chatain	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6	TIS	2016	F	1993	160	38	51	Vert	Chatain	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7	TIS	2016	H	1993	176	44	2	Marron	Chatain	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8	TIS	2016	F	1993	173	40	57	Marron	Chatain	8	9	8.00	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9	TIS	2016	F	1993	174	40	50	Marron	Chatain	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10	TIS	2016	F	1992	162	38	47	Marron	Chatain	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11	TIS	2016	F	1994	164	36	44	Vert	Chatain	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
